trial,location_1,probability_1,surprise_1,conditions_1,location_2,probability_2,surprise_2,conditions_2,location_3,probability_3,surprise_3,conditions_3,location_4,probability_4,surprise_4,conditions_4,location_5,probability_5,surprise_5,conditions_5,location_6,probability_6,surprise_6,conditions_6
0,0,0.25,1.38629,learn,0,0.25,1.38629,learn,0,0.25,1.38629,learn,0,0.25,1.38629,learn,0,0.25,1.38629,learn,0,0.25,1.38629,learn
1,0,0.4,0.916291,learn,0,0.4,0.916291,learn,0,0.4,0.916291,learn,0,0.4,0.916291,learn,0,0.4,0.916291,learn,0,0.4,0.916291,learn
2,0,,,learn,0,,,learn,0,,,learn,0,,,learn,0,,,learn,0,,,learn
3,0,0.5,0.693147,learn,0,0.5,0.693147,learn,0,0.5,0.693147,learn,0,0.5,0.693147,learn,0,0.5,0.693147,learn,0,0.5,0.693147,learn
4,1,0.1429,1.94591,high,0,0.5714,0.559616,low,2,0.1429,1.94591,high,1,0.1429,1.94591,high,1,0.1429,1.94591,high,0,0.5714,0.559616,low
5,1,0.25,1.38629,med,0,0.625,0.470004,low,3,0.125,2.07944,high,2,0.125,2.07944,high,1,0.25,1.38629,med,1,0.125,2.07944,high
6,1,0.3333,1.09861,med,0,0.6667,0.405465,low,1,0.1111,2.19722,high,1,0.2222,1.50408,med,0,0.4444,0.81093,low,0,0.5556,0.587787,low
7,0,0.4,0.916291,low,1,0.1,2.30259,high,1,0.2,1.60944,med,0,0.4,0.916291,low,1,0.3,1.20397,med,1,0.2,1.60944,med
8,0,0.4545,0.788457,low,2,0.0909,2.3979,high,1,0.2727,1.29928,med,0,0.4545,0.788457,low,2,0.0909,2.3979,high,1,0.2727,1.29928,med
9,0,0.5,0.693147,low,3,0.0833,2.48491,high,0,0.3333,1.09861,low,3,0.0833,2.48491,high,3,0.0833,2.48491,high,0,0.5,0.693147,low
10,1,0.3077,1.17865,med,1,0.1538,1.8718,med,0,0.3846,0.955511,low,0,0.4615,0.77319,low,1,0.3077,1.17865,med,1,0.3077,1.17865,med
11,2,0.0714,2.63906,high,1,0.2143,1.54045,med,1,0.2857,1.25276,med,1,0.2143,1.54045,med,0,0.3571,1.02962,low,2,0.0714,2.63906,high
12,3,0.0667,2.70805,high,1,0.2667,1.32176,med,0,0.4,0.916291,low,1,0.2667,1.32176,med,0,0.4,0.916291,low,3,0.0667,2.70805,high
13,0,0.25,1.38629,learn,0,0.25,1.38629,learn,0,0.25,1.38629,learn,0,0.25,1.38629,learn,0,0.25,1.38629,learn,0,0.25,1.38629,learn
14,0,0.4,0.916291,learn,0,0.4,0.916291,learn,0,0.4,0.916291,learn,0,0.4,0.916291,learn,0,0.4,0.916291,learn,0,0.4,0.916291,learn
15,0,0.5,0.693147,learn,0,0.5,0.693147,learn,0,0.5,0.693147,learn,0,0.5,0.693147,learn,0,0.5,0.693147,learn,0,0.5,0.693147,learn
16,0,,,learn,0,,,learn,0,,,learn,0,,,learn,0,,,learn,0,,,learn
17,1,0.1429,1.94591,high,1,0.1429,1.94591,high,0,0.5714,0.559616,low,1,0.1429,1.94591,high,0,0.5714,0.559616,low,2,0.1429,1.94591,high
18,2,0.125,2.07944,high,1,0.25,1.38629,med,1,0.125,2.07944,high,1,0.25,1.38629,med,0,0.625,0.470004,low,3,0.125,2.07944,high
19,1,0.2222,1.50408,med,0,0.4444,0.81093,low,0,0.5556,0.587787,low,1,0.3333,1.09861,med,0,0.6667,0.405465,low,1,0.1111,2.19722,high
20,0,0.4,0.916291,low,1,0.3,1.20397,med,1,0.2,1.60944,med,0,0.4,0.916291,low,1,0.1,2.30259,high,1,0.2,1.60944,med
21,0,0.4545,0.788457,low,2,0.0909,2.3979,high,1,0.2727,1.29928,med,0,0.4545,0.788457,low,2,0.0909,2.3979,high,1,0.2727,1.29928,med
22,3,0.0833,2.48491,high,3,0.0833,2.48491,high,0,0.5,0.693147,low,0,0.5,0.693147,low,3,0.0833,2.48491,high,0,0.3333,1.09861,low
23,0,0.4615,0.77319,low,1,0.3077,1.17865,med,1,0.3077,1.17865,med,1,0.3077,1.17865,med,1,0.1538,1.8718,med,0,0.3846,0.955511,low
24,1,0.2143,1.54045,med,0,0.3571,1.02962,low,2,0.0714,2.63906,high,2,0.0714,2.63906,high,1,0.2143,1.54045,med,1,0.2857,1.25276,med
25,1,0.2667,1.32176,med,0,0.4,0.916291,low,3,0.0667,2.70805,high,3,0.0667,2.70805,high,1,0.2667,1.32176,med,0,0.4,0.916291,low
